team_name,stadium_name,location,capacity,city,country,latitude,longitude
Arsenal,Emirates Stadium,"Hornsey Road, Holloway, London",60704,London,England,51.5549,-0.1084
Aston Villa,Villa Park,"Trinity Road, Birmingham",43205,Birmingham,England,52.5092,-1.8848
Bournemouth,Dean Court,"Kings Park, Bournemouth",11307,Bournemouth,England,50.7352,-1.8383
Brentford,Brentford Community Stadium,"Lionel Road South, Brentford, London",17250,London,England,51.4908,-0.2887
Brighton & Hove Albion,Falmer Stadium,"Village Way, Falmer",31876,Falmer,England,50.8618,-0.0833
Burnley,Turf Moor,"Harry Potts Way, Burnley",21990,Burnley,England,53.789,-2.2302
Chelsea,Stamford Bridge,"Fulham Road, London",40044,London,England,51.4816,-0.191
Crystal Palace,Selhurst Park,"Holmesdale Road, London",25194,London,England,51.3983,-0.0855
Everton,Hill Dickinson Stadium,"Bramley-Moore Dock, Liverpool",52769,Liverpool,England,53.4253,-2.995
Fulham,Craven Cottage,"Stevenage Road, Fulham, London",28800,London,England,51.4749,-0.2217
Leeds United,Elland Road,"Elland Road, Leeds",37645,Leeds,England,53.7778,-1.5721
Liverpool,Anfield,"Anfield Road, Liverpool",61276,Liverpool,England,53.4308,-2.9608
Manchester City,City of Manchester Stadium,"Rowsley Street, Manchester",52900,Manchester,England,53.4831,-2.2004
Manchester United,Old Trafford,"Sir Matt Busby Way, Trafford",74244,Trafford,England,53.4631,-2.2913
Newcastle United,St James' Park,"Barrack Road, Newcastle upon Tyne",52264,Newcastle upon Tyne,England,54.9756,-1.6217
Nottingham Forest,City Ground,"Pavilion Road, West Bridgford",31042,West Bridgford,England,52.94,-1.1328
Sunderland,Stadium of Light,"Monkwearmouth, Sunderland",48707,Sunderland,England,54.9145,-1.3882
Tottenham Hotspur,Tottenham Hotspur Stadium,"782 High Road, Tottenham, London",62850,London,England,51.6043,-0.0662
West Ham United,London Stadium,"Queen Elizabeth Olympic Park, London",62500,London,England,51.5386,-0.0164
Wolverhampton Wanderers,Molineux Stadium,"Waterloo Road, Wolverhampton",31750,Wolverhampton,England,52.5903,-2.1304
Alavés,Campo de Fútbol de Mendizorrotza,"Paseo Cervantes, Vitoria-Gasteiz",19840,Vitoria-Gasteiz,Spain,42.8371,-2.6884
Athletic Bilbao,Estadio San Mamés,"Rafael Moreno Pitxitxi, Bilbao",53289,Bilbao,Spain,43.2641,-2.9494
Atlético Madrid,Estadio Riyadh Air Metropolitano,"Avenida de Luis Aragonés, Madrid",70692,Madrid,Spain,40.4362,-3.5995
Barcelona,Camp Nou,"Carrer d'Arístides Maillol, Barcelona",105000,Barcelona,Spain,41.3809,2.1228
